unnamed: 0,week_of_outbreak,state_ut,district,disease,cases,deaths,latitude,longitude,preci,lai,temp_c,date
184,24th week,Maharashtra,Nagpur,Acute Diarrhoeal Disease,47,,21.1498134,79.0820556,0.144372744,3.0,44.450000000000045,2022-06-15
185,24th week,Punjab,Patiala,Acute Diarrhoeal Disease,283,,30.2090874,76.33987209,0.013158468,3.0,38.87666660000002,2022-06-15
186,24th week,Uttar Pradesh,Kaushambi,Acute Diarrhoeal Disease,8,2.0,25.53609455,81.44672839,0.012937982,5.0,38.835000000000036,2022-06-16
187,1st week,Kerala,Ernakulam,Acute Diarrhoeal Disease,92,,9.98408,76.2741457,0.183785227,34.0,29.153999999999996,2021-01-01
188,1st week,Tamil Nadu,Dharmapuri,Acute Diarrhoeal Disease,17,,12.09680475,78.19304301,0.112242577,15.0,25.210000000000036,2022-01-04
189,2nd week,Puducherry,Puducherry,Dengue,6,,11.9340568,79.8306447,0.875774087,8.0,27.129999999999995,2021-01-11
190,3rd week,Karnataka,Raichur,Acute Diarrhoeal Disease,13,,16.083333,77.166667,2.27e-05,8.0,31.25333340000003,2021-01-20
191,3rd week,Karnataka,Chikkaballapur,Acute Diarrhoeal Disease,61,,13.6102243,77.5127721,0.000920176,,29.939999999999998,2021-01-24
192,3rd week,Karnataka,Bagalkot,Chikungunya,18,,16.1853166,75.6967919,5.22e-05,,31.063333400000033,2021-01-17
193,3rd week,Karnataka,Ballari,Acute Diarrhoeal Disease,47,1.0,15.2485413,76.8323648,2.27e-05,8.0,30.063333400000033,2021-01-20
